,day_date,close_value,comment_num
132,2019-05-13,1136.59,67
133,2019-05-14,1124.86,86
134,2019-05-15,1170.8,94
135,2019-05-16,1184.5,59
136,2019-05-17,1168.78,71
137,2019-05-18,1168.78,8
138,2019-05-19,1168.78,19
139,2019-05-20,1144.66,118
140,2019-05-21,1154.44,116
141,2019-05-22,1155.85,43
142,2019-05-23,1145.34,93
143,2019-05-24,1138.61,47
144,2019-05-25,1138.61,23
145,2019-05-26,1138.61,10
146,2019-05-27,1138.61,25
147,2019-05-28,1139.56,25
148,2019-05-29,1119.94,45
149,2019-05-30,1121.41,84
150,2019-05-31,1106.5,37
151,2019-06-01,1106.5,92
152,2019-06-02,1106.5,45
153,2019-06-03,1038.74,341
154,2019-06-04,1054.49,106
155,2019-06-05,1044.64,43
156,2019-06-06,1047.76,87
157,2019-06-07,1068.37,59
158,2019-06-08,1068.37,12
159,2019-06-09,1068.37,45
160,2019-06-10,1082.76,64
161,2019-06-11,1081.04,86
162,2019-06-12,1079.1,45
163,2019-06-13,1091.01,74
164,2019-06-14,1086.3,22
165,2019-06-15,1086.3,4
166,2019-06-16,1086.3,9
167,2019-06-17,1093.89,28
168,2019-06-18,1105.24,44
169,2019-06-19,1104.51,14
170,2019-06-20,1113.2,25
171,2019-06-21,1125.37,35
172,2019-06-22,1125.37,18
173,2019-06-23,1125.37,25
174,2019-06-24,1116.7,22
175,2019-06-25,1087.58,40
176,2019-06-26,1080.32,58
177,2019-06-27,1076.63,28
178,2019-06-28,1082.8,43
179,2019-06-29,1082.8,37
180,2019-06-30,1082.8,15
181,2019-07-01,1100.0,36
182,2019-07-02,1112.6,16
183,2019-07-03,1122.99,21
184,2019-07-04,1122.99,6
185,2019-07-05,1132.665,22
186,2019-07-06,1132.665,18
187,2019-07-07,1132.665,9
188,2019-07-08,1116.79,28
189,2019-07-09,1124.29,23
190,2019-07-10,1140.91,29
191,2019-07-11,1144.08,65
192,2019-07-12,1145.34,24
193,2019-07-13,1145.34,22
194,2019-07-14,1145.34,5
195,2019-07-15,1150.51,108
196,2019-07-16,1153.46,107
197,2019-07-17,1146.74,51
198,2019-07-18,1147.24,38
199,2019-07-19,1131.55,21
200,2019-07-20,1131.55,28
201,2019-07-21,1131.55,20
202,2019-07-22,1139.21,40
203,2019-07-23,1148.05,72
204,2019-07-24,1139.73,60
205,2019-07-25,1135.94,260
206,2019-07-26,1245.22,265
207,2019-07-27,1245.22,28
208,2019-07-28,1245.22,12
209,2019-07-29,1241.84,42
210,2019-07-30,1228.0,35
211,2019-07-31,1218.2,68
212,2019-08-01,1211.78,77
213,2019-08-02,1196.32,63
214,2019-08-03,1196.32,48
215,2019-08-04,1196.32,10
216,2019-08-05,1154.75,44
217,2019-08-06,1171.08,66
218,2019-08-07,1175.91,84
219,2019-08-08,1206.19,53
220,2019-08-09,1188.9,41
221,2019-08-10,1188.9,32
222,2019-08-11,1188.9,11
223,2019-08-12,1174.5,19
224,2019-08-13,1196.73,27
225,2019-08-14,1164.25,41
226,2019-08-15,1169.32,37
227,2019-08-16,1179.21,26
228,2019-08-17,1179.21,5
229,2019-08-18,1179.21,8
230,2019-08-19,1200.44,71
231,2019-08-20,1183.53,30
232,2019-08-21,1191.58,18
233,2019-08-22,1191.52,15
234,2019-08-23,1153.58,34
235,2019-08-24,1153.58,23
236,2019-08-25,1153.58,10
237,2019-08-26,1171.18,15
238,2019-08-27,1170.82,38
239,2019-08-28,1173.75,9
240,2019-08-29,1194.24,26
241,2019-08-30,1190.53,22
242,2019-08-31,1190.53,7
243,2019-09-01,1190.53,8
244,2019-09-02,1190.53,14
245,2019-09-03,1169.55,10
246,2019-09-04,1182.27,44
247,2019-09-05,1212.19,29
248,2019-09-06,1206.32,50
249,2019-09-07,1206.32,10
250,2019-09-08,1206.32,3
251,2019-09-09,1205.27,63
252,2019-09-10,1205.7,23
253,2019-09-11,1220.0,23
254,2019-09-12,1234.97,28
255,2019-09-13,1240.03,20
256,2019-09-14,1240.03,11
257,2019-09-15,1240.03,4
258,2019-09-16,1231.63,12
259,2019-09-17,1229.88,32
260,2019-09-18,1232.65,31
261,2019-09-19,1238.75,56
262,2019-09-20,1229.84,33
263,2019-09-21,1229.84,8
264,2019-09-22,1229.84,8
265,2019-09-23,1234.69,36
266,2019-09-24,1218.33,50
267,2019-09-25,1245.94,39
268,2019-09-26,1242.29,41
269,2019-09-27,1225.95,35
270,2019-09-28,1225.95,9
271,2019-09-29,1225.95,10
272,2019-09-30,1221.14,22
273,2019-10-01,1206.0,31
274,2019-10-02,1177.92,44
275,2019-10-03,1189.43,55
276,2019-10-04,1210.96,18
277,2019-10-05,1210.96,9
278,2019-10-06,1210.96,11
279,2019-10-07,1208.25,16
280,2019-10-08,1190.13,23
281,2019-10-09,1202.4,36
282,2019-10-10,1209.47,40
283,2019-10-11,1215.71,17
284,2019-10-12,1215.71,14
285,2019-10-13,1215.71,18
286,2019-10-14,1217.77,16
287,2019-10-15,1242.24,37
288,2019-10-16,1243.0,47
289,2019-10-17,1252.8,32
290,2019-10-18,1244.41,22
291,2019-10-19,1244.41,11
292,2019-10-20,1244.41,6
293,2019-10-21,1244.28,50
294,2019-10-22,1241.2,51
295,2019-10-23,1257.63,31
296,2019-10-24,1259.11,34
297,2019-10-25,1264.3,35
298,2019-10-26,1264.3,38
299,2019-10-27,1264.3,51
300,2019-10-28,1288.98,284
301,2019-10-29,1260.66,100
302,2019-10-30,1260.7,34
303,2019-10-31,1258.8,48
304,2019-11-01,1272.25,403
305,2019-11-02,1272.25,33
306,2019-11-03,1272.25,27
307,2019-11-04,1289.61,26
308,2019-11-05,1291.44,34
309,2019-11-06,1291.01,27
310,2019-11-07,1306.94,75
311,2019-11-08,1309.0,27
312,2019-11-09,1309.0,26
313,2019-11-10,1309.0,31
314,2019-11-11,1298.28,29
315,2019-11-12,1297.21,57
316,2019-11-13,1296.18,61
317,2019-11-14,1309.15,94
318,2019-11-15,1333.54,366
319,2019-11-16,1333.54,13
320,2019-11-17,1333.54,41
321,2019-11-18,1319.84,37
322,2019-11-19,1312.59,27
323,2019-11-20,1301.86,41
324,2019-11-21,1300.14,37
325,2019-11-22,1293.67,39
326,2019-11-23,1293.67,10
327,2019-11-24,1293.67,11
328,2019-11-25,1305.64,25
329,2019-11-26,1313.0,44
330,2019-11-27,1312.13,36
331,2019-11-28,1312.13,10
332,2019-11-29,1304.09,6
333,2019-11-30,1304.09,30
334,2019-12-01,1304.09,12
335,2019-12-02,1288.86,30
336,2019-12-03,1294.74,56
337,2019-12-04,1318.94,94
338,2019-12-05,1326.96,43
339,2019-12-06,1339.39,56
340,2019-12-07,1339.39,69
341,2019-12-08,1339.39,242
342,2019-12-09,1342.99,34
343,2019-12-10,1342.89,41
344,2019-12-11,1344.25,77
345,2019-12-12,1348.49,25
346,2019-12-13,1346.87,14
347,2019-12-14,1346.87,26
348,2019-12-15,1346.87,19
349,2019-12-16,1360.7,62
350,2019-12-17,1354.89,25
351,2019-12-18,1351.91,22
352,2019-12-19,1356.44,36
353,2019-12-20,1351.22,37
354,2019-12-21,1351.22,6
355,2019-12-22,1351.22,13
356,2019-12-23,1350.63,17
357,2019-12-24,1344.43,12
358,2019-12-25,1344.43,4
359,2019-12-26,1362.47,42
360,2019-12-27,1354.64,35
361,2019-12-28,1354.64,21
362,2019-12-29,1354.64,17
363,2019-12-30,1339.71,26
364,2019-12-31,1339.39,30
